Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,RFECV_Ranking,SHAP_Importance,Correlation_With_Target
Open_BID,18.62178518743191,0.02375827015371379,4,64,0.0015620803359093175,-0.059252951625676786
High_BID,18.771913905115145,0.028374046728211866,11,32,0.0375034171798028,-0.05949060801472683
Low_BID,18.03464381377201,0.03061172242321497,10,35,0.012961486726049251,-0.05830755424854317
Close_BID,18.000670941490192,0.038666210135383405,12,15,0.010447206490333462,-0.05826215961181447
Volume_BID,13.313603233015177,0.0,5,27,0.006242905686904304,-0.05012586632101801
Open_ASK,18.609865461140064,0.022943190995944773,5,55,0.006099009927297147,-0.059268046708780275
High_ASK,18.83221042775828,0.025575076070794678,3,58,0.0040912284830755975,-0.05950945437804478
Low_ASK,18.046944466806337,0.02696857357425353,2,63,0.0024309062060443127,-0.058299549573845866
Close_ASK,18.029346328307238,0.031865131423864046,7,63,0.011031387368998216,-0.05825767537895388
Volume_ASK,14.98871297985663,0.007077371225276741,10,42,0.01003748962843301,-0.05317581754854395
Mid_Price,17.98258766759647,0.03702252841052278,6,50,0.007780527789738738,-0.058259929727753956
Spread,0.03173508553833363,0.0038558054946966624,1,66,0.0007091543810993279,0.0024512404825145495
Volume,14.299692757264689,0.0,1,67,0.0004044703009342818,-0.05194365402597967
Open_Mid,18.613155777792393,0.020354438451322787,0,87,0.0,-0.05926054844032791
High_Mid,18.76778116216052,0.024583694362312336,1,66,0.0016690772498313467,-0.05950002820692646
Low_Mid,18.035330387703215,0.030832026692224845,0,87,0.0,-0.05830356460302255
Close_Mid,17.98258766759647,0.03775672887643777,0,86,0.0,-0.058259929727753956
Unix_Diff_Since_Earnings,17.23374148764693,0.005861391563638296,123,1,0.07803719606018347,0.057002548055606894
Unix_Diff_Until_Earnings,18.12113616764119,0.028309131829783007,73,8,0.05599819298927342,-0.05844579191568755
Month,0.6053351877388198,0.023835136629385634,21,36,0.016353135964030367,0.01069523148726148
Day_Type,0.7379979410905275,0.0017161091936697126,5,54,0.011240763100315665,0.011814565034001134
Week_of_Year,0.7083948311541949,0.05390209852976846,100,5,0.1118216401454751,0.011571714049296133
Quarter,2.2517327267458507,0.003387254228001124,0,86,0.0,0.020633200445445254
Hour,0.4812673777415368,0.0,1,65,0.0013849299945515414,-0.009528804860678974
Is_Open_Hour,0.00228649193255915,0.0,0,85,0.0,0.0006582802452612668
Is_Close_Hour,0.7118768926801222,0.0,0,84,0.0,-0.011604291874391492
Day_of_Week,1.452968648064859,0.0036454160138346126,11,36,0.01739313495327946,-0.016578546252276283
Is_Lunch_Time,0.04699596379316663,0.011368594602855664,0,83,0.0,0.002981438869028352
Time_Since_Open,0.526493427631049,0.006363119518403515,0,85,0.0,-0.009981345228425198
score,4.878615565359923,0.43916735553645636,136,2,0.0967611147556429,-0.030360889541086067
