Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,SHAP_Importance,Correlation_With_Target
Open_BID,11.18776562394938,0.04609436897924302,8,0.007038690304651817,-0.04594893243688425
High_BID,11.073833029455852,0.04723513821834402,13,0.010561488950558598,-0.04574554125600727
Low_BID,10.932316506539962,0.04813485031898135,9,0.006067678517888135,-0.04546907576515835
Close_BID,10.742826547637168,0.0527841440277419,28,0.027369148814549885,-0.04502204717688585
Volume_BID,3.3512156445147516,0.011253690439130049,8,0.006434749478015491,-0.025177721393944807
Open_ASK,11.166945656044177,0.053892528247314164,1,0.0013300517312832228,-0.04592880052806425
High_ASK,11.056596238597947,0.04711552705385902,5,0.003837429547683348,-0.045738808301861056
Low_ASK,10.934171532468719,0.04554698354679432,7,0.0063657147161721855,-0.04543870805018457
Close_ASK,10.708595230710445,0.05480809111663465,9,0.023918514097328623,-0.04498496467154389
Volume_ASK,5.335241781525883,0.005820097953309622,3,0.004092712126257586,-0.03176097812013978
Mid_Price,10.74623736399653,0.052106904523326,0,0.0,-0.045003510204614905
Spread,3.908348432441495,0.005018327003511347,0,0.0,0.027196903400181327
Volume,4.325361565257632,0.00775357664024634,1,0.0005580969002152515,-0.028612262472854866
Open_Mid,11.159269796140133,0.04787265841952881,2,0.005540452224519593,-0.045938895515412526
High_Mid,11.07514204830444,0.04643450649449132,6,0.008063657154490235,-0.04574218012432141
Low_Mid,10.901682737435582,0.04646959750210189,4,0.012804345342591433,-0.045453895240944675
Close_Mid,10.74623736399653,0.05101252619545171,0,0.0,-0.045003510204614905
Unix_Diff_Until_Earnings,5.9589118164965225,0.0,241,0.1329459758571181,-0.033568186443517334
Month,2.59713539024764,0.024657854758131315,41,0.02760113949188784,-0.02217312319771736
Day_Type,5.513518560174782,0.0,21,0.034814615909694376,0.03229777441447368
Week_of_Year,2.4375032180127962,0.07565901382311013,161,0.23756351944802187,-0.021480346450516663
Quarter,0.17977029067269604,0.0004530599432219784,0,0.0,-0.005829089612234384
Hour,0.0870865871867099,0.006774692683457095,1,0.0009676593291425857,0.004127817333028361
Is_Open_Hour,0.4585788271758131,0.0,0,0.0,-0.009319121818407439
Is_Close_Hour,0.022464497478802924,0.0,0,0.0,-0.002062967498204671
Day_of_Week,0.024939443948948266,0.0,14,0.013140062678496635,0.002196412263856473
Is_Lunch_Time,0.4186519790927639,0.0,0,0.0,0.008904078946216032
Time_Since_Open,0.06388054132249812,0.0,0,0.0,0.0034898015601356747
score,33.062822790379144,0.4418752063610334,188,0.18831604794196438,-0.07887424353505423
rating,43.44123230776738,0.003864001994090094,0,0.0,-0.09033441883184423
SMA_3,10.826206690067744,0.05394891938113444,0,0.0,-0.04523290461601093
SMA_6,11.058911590650087,0.05526621700111045,3,0.0034457654278259886,-0.04572992554201982
SMA_12,11.458866093747744,0.046025615291009236,10,0.006213805094247661,-0.04659351694657943
SMA_5,10.992629785332399,0.04925558632166771,2,0.0025269860754401786,-0.04558863503566002
SMA_10,11.354037977568668,0.04414235347686768,9,0.01848832760973196,-0.046282551645628445
SMA_20,11.682884563610207,0.05137584278371632,36,0.04716738663564671,-0.0469982702060161
EMA_3,10.86850870063999,0.05383539561289408,1,0.006406271284734114,-0.045271124057901346
EMA_6,11.049076823310886,0.052995672399008376,3,0.01465496843397575,-0.04569874489567738
EMA_12,11.330943835913745,0.0513845455493378,10,0.011968500459296922,-0.04626005390770249
EMA_26,11.446414013298954,0.04395835801541903,27,0.023961643227484796,-0.0465058745349376
MACD,0.0018945067351526402,0.013230426637935055,100,0.08206737772628425,-0.000597952519921563
Signal_Line,0.39005188421470993,0.005608529484344871,114,0.0745957440841112,-0.008594599836584393
%K,5.161664916917492,0.017243736675774057,9,0.004384694981897822,0.03124822073036171
%D,4.4649618321227615,0.008253396263618207,10,0.004511575967536138,0.029066748920101304
CCI,0.027354483795064537,0.009307214059367075,40,0.04039204140880184,0.0022763034410004934
Return_1H,0.05955331391102848,0.0,6,0.003969648676642423,0.0033584042126326707
Return_3H,0.9311373666013624,0.0036890969259426587,8,0.01993848892324556,0.013278557814609293
Return_6H,0.9307680508277911,0.0,20,0.03781723361538114,0.013275977231860026
RSI_long,3.1937371756622914,0.0,52,0.029538452537698916,0.024606644287377577
RSI_short,3.1937371756622914,0.0,0,0.0,0.024606644287377577
Middle_Band,11.682884563610207,0.051112632128155866,0,0.0,-0.0469982702060161
