,Feature,Score
63,CMF,16.6436218055014
43,%D,10.32082187594982
42,%K,9.637306729415245
89,Williams_%R,9.637306729415245
44,CCI,6.35412683654518
25,Day_of_Week,5.824583287517872
84,Price_Z_Score,5.746187414781139
77,Return_10,5.393380026934793
80,Lagged_Volatility,5.1379195127532915
29,rating,4.924249843344613
49,RSI_short,4.276484548998855
48,RSI_long,4.276484548998855
64,Volatility,4.187436568726408
79,Rolling_Std_5,4.187436568726408
76,Return_5,2.407003513359659
93,VPT,2.205258182072686
73,Lag_Return_3,2.1544909465610855
47,Return_6H,2.0364029063063778
53,High_Low,1.8784735665371501
90,High_Low_Ratio,1.3821052752129943
28,score,1.3391529478120061
92,Order_Imbalance,1.293299420552455
62,MF_Volume,1.2931123170007899
104,RSI_Volatility,1.1442447223290502
19,Day_Type,1.0636411069325273
51,Upper_Band,0.7343199552792378
40,MACD,0.6840964750332351
11,Spread,0.6528403303870912
96,Resistance_10,0.6463111041220333
100,Resistance_20,0.6316761369948735
102,Resistance_Close_20,0.6063343085095377
21,Quarter,0.5993531074702962
46,Return_3H,0.5794878887917002
98,Resistance_Close_10,0.5739419374950316
60,OBV,0.5506317676505491
17,Unix_Diff_Until_Earnings,0.5456224337418067
86,Base_Line,0.531303168159066
83,Rolling_Kurt,0.530250479888867
74,Lag_Return_4,0.514507234272075
88,Leading_Span_B,0.5077968399372896
61,MF_Multiplier,0.4993889681507408
99,Support_20,0.4573033335387935
56,True_Range,0.4389751578646112
91,Close_Open_Ratio,0.43494236316766344
35,SMA_20,0.4208104419442004
50,Middle_Band,0.4208104419442004
85,Conversion_Line,0.4091943256646058
27,Time_Since_Open,0.38213234871776336
18,Month,0.3738618416387488
39,EMA_26,0.3729492295704963
32,SMA_12,0.37074235061470895
20,Week_of_Year,0.36767784167738693
101,Support_Close_20,0.3541787661332223
87,Leading_Span_A,0.3447570846355683
34,SMA_10,0.326885530036378
38,EMA_12,0.3194155262329794
70,Lag_Mid_Price_4,0.317041405250713
22,Hour,0.30895306694840824
72,Lag_Return_2,0.29382269418174584
103,SMA5_Volume,0.28998838249361986
95,Support_10,0.2793305594623364
65,Return,0.2561639290688034
45,Return_1H,0.2561639290688034
75,Return_1,0.2561639290688034
31,SMA_6,0.2556508946312151
37,EMA_6,0.25506328016748975
69,Lag_Mid_Price_3,0.246743958892947
78,Rolling_Mean_5,0.23729146497131343
33,SMA_5,0.23729146497131343
82,Rolling_Skew,0.23210336833981524
6,High_ASK,0.22877261499150625
14,High_Mid,0.22818709023866268
1,High_BID,0.22760219204844673
97,Support_Close_10,0.22579777082708094
58,Volume_SMA_3,0.2238142425868182
68,Lag_Mid_Price_2,0.2207362272153513
59,Volume_SMA_6,0.22025559857999258
36,EMA_3,0.21568951497814637
57,ATR,0.21259009866354156
67,Lag_Mid_Price_1,0.21033051398767166
30,SMA_3,0.20993587931197455
0,Open_BID,0.20787969014562985
13,Open_Mid,0.20729775724168267
5,Open_ASK,0.20671624836777402
8,Close_ASK,0.19891495061091863
16,Close_Mid,0.19847735525981255
10,Mid_Price,0.19847735525981255
3,Close_BID,0.19804005745761158
52,Lower_Band,0.19066195188897278
2,Low_BID,0.1888363637397262
15,Low_Mid,0.18860650138453264
7,Low_ASK,0.18837673477918807
66,Volume_change,0.1790853030802648
9,Volume_ASK,0.15744078542917778
94,A/D_Line,0.15657471223562666
24,Is_Close_Hour,0.14108835382228785
23,Is_Open_Hour,0.12304660654391232
12,Volume,0.08721903491973357
71,Lag_Return_1,0.07926666718639845
54,High_Close,0.0770719977119073
26,Is_Lunch_Time,0.06370763772482749
81,Hammer,0.054273611308333115
4,Volume_BID,0.03611780565178951
41,Signal_Line,0.026864003927057352
55,Low_Close,0.0003879423376608871
