,Feature,Score
60,OBV,27.48062520974971
59,Volume_SMA_6,26.157003107293786
58,Volume_SMA_3,20.787689566863122
57,ATR,19.0136158965636
94,A/D_Line,17.992112489622752
28,score,17.85845826644535
95,Support_10,15.444064323145886
29,rating,15.409099821054173
99,Support_20,15.224092416457788
97,Support_Close_10,15.082146450553118
52,Lower_Band,15.063389632631248
101,Support_Close_20,14.895942005800842
2,Low_BID,14.647968276290502
15,Low_Mid,14.647887141981437
7,Low_ASK,14.647800443863188
3,Close_BID,14.499313301305289
10,Mid_Price,14.494564743620383
16,Close_Mid,14.494564743620383
8,Close_ASK,14.489806789278793
85,Conversion_Line,14.488405493294772
36,EMA_3,14.432290049206573
5,Open_ASK,14.413493876902175
30,SMA_3,14.408318789523184
13,Open_Mid,14.403403602698663
31,SMA_6,14.398235517274802
78,Rolling_Mean_5,14.39734005907468
33,SMA_5,14.39734005907468
0,Open_BID,14.393283312446963
37,EMA_6,14.38429852765997
68,Lag_Mid_Price_2,14.376161072392316
70,Lag_Mid_Price_4,14.362054194641114
34,SMA_10,14.333246392289057
69,Lag_Mid_Price_3,14.329943782673807
67,Lag_Mid_Price_1,14.316772766296028
1,High_BID,14.26711409482683
14,High_Mid,14.266645513403608
6,High_ASK,14.266172339478771
32,SMA_12,14.239808818180217
38,EMA_12,14.223966506488688
35,SMA_20,13.965445611317184
50,Middle_Band,13.965445611317184
39,EMA_26,13.751250983474431
86,Base_Line,13.738657922733736
98,Resistance_Close_10,13.548070002800646
96,Resistance_10,13.407762130554742
9,Volume_ASK,13.25989483192008
12,Volume,13.107621643506642
102,Resistance_Close_20,12.869409344372889
100,Resistance_20,12.795396099469862
4,Volume_BID,12.75374879028691
51,Upper_Band,12.732601133007453
87,Leading_Span_A,11.757572681030068
88,Leading_Span_B,11.100327879510253
80,Lagged_Volatility,10.817562660280991
22,Hour,8.20979370496282
103,SMA5_Volume,8.158028522479981
27,Time_Since_Open,8.146093631291397
90,High_Low_Ratio,6.8679518175381045
93,VPT,5.725776219965143
64,Volatility,5.646102343852685
79,Rolling_Std_5,5.646102343852685
17,Unix_Diff_Until_Earnings,5.1027901982620305
41,Signal_Line,4.505620963142274
25,Day_of_Week,4.287979439264386
104,RSI_Volatility,3.9210711223218593
40,MACD,3.787595769188739
53,High_Low,3.7664948591343306
26,Is_Lunch_Time,3.6564117825704545
23,Is_Open_Hour,3.5137483677500123
63,CMF,3.3867204600003573
44,CCI,3.290880222743844
84,Price_Z_Score,3.2306626197121964
43,%D,2.919524328629487
42,%K,2.8749927773215096
89,Williams_%R,2.8749927773215096
77,Return_10,2.7186629455789837
76,Return_5,2.6539870463687345
19,Day_Type,2.443384844385193
47,Return_6H,2.3477301441144203
73,Lag_Return_3,2.288815034716266
74,Lag_Return_4,2.2662039890197896
18,Month,2.258411399271971
49,RSI_short,2.218568555614991
48,RSI_long,2.218568555614991
20,Week_of_Year,2.1537364005363635
56,True_Range,2.076211051452478
92,Order_Imbalance,2.030239543458015
21,Quarter,2.0182849502173914
24,Is_Close_Hour,1.9972606495965761
11,Spread,1.9823433940825514
82,Rolling_Skew,1.916651833344152
46,Return_3H,1.6757448234833272
55,Low_Close,1.2699392447827813
66,Volume_change,1.2552202744209362
81,Hammer,1.242835641017761
62,MF_Volume,1.2409938402698315
71,Lag_Return_1,1.1705646158219278
54,High_Close,0.946872901027447
75,Return_1,0.8833697853787106
65,Return,0.8833697853787106
45,Return_1H,0.8833697853787106
83,Rolling_Kurt,0.7236874141100557
61,MF_Multiplier,0.7227582470717808
91,Close_Open_Ratio,0.6869138740279367
72,Lag_Return_2,0.5760862031735728
