,Feature,Score
29,rating,16.0475777567184
59,Volume_SMA_6,15.072471237558316
28,score,13.098522921788184
58,Volume_SMA_3,11.92469875663829
57,ATR,10.710367899349706
63,CMF,9.691938800763397
43,%D,9.411755407549283
60,OBV,9.399109123535734
44,CCI,8.789131933314993
89,Williams_%R,7.54272846294488
42,%K,7.542728462944874
84,Price_Z_Score,7.373655157412057
27,Time_Since_Open,6.61409743075969
22,Hour,6.350469212966784
77,Return_10,5.7457143606693855
9,Volume_ASK,5.495111561533411
76,Return_5,5.357372177376399
48,RSI_long,5.270633232824752
49,RSI_short,5.270633232824752
40,MACD,5.226279591225879
12,Volume,5.212815558278071
4,Volume_BID,4.864129409105327
25,Day_of_Week,4.323970319355309
7,Low_ASK,4.270288283339156
15,Low_Mid,4.27025048857435
2,Low_BID,4.270211150089394
80,Lagged_Volatility,4.2699512862048215
74,Lag_Return_4,4.235513970459224
95,Support_10,4.224473540305229
67,Lag_Mid_Price_1,4.204671922049202
99,Support_20,4.182483569137662
3,Close_BID,4.181248957569116
10,Mid_Price,4.178989005592351
16,Close_Mid,4.178989005592351
8,Close_ASK,4.17672693964591
5,Open_ASK,4.152787856209444
30,SMA_3,4.1519580214541225
13,Open_Mid,4.150975215775674
0,Open_BID,4.149153591155627
36,EMA_3,4.122921035289278
6,High_ASK,4.120568137806946
14,High_Mid,4.1192297705299925
1,High_BID,4.117890410994459
68,Lag_Mid_Price_2,4.062520509207742
85,Conversion_Line,4.044192719463976
97,Support_Close_10,4.039200384179952
90,High_Low_Ratio,4.030211345919377
33,SMA_5,4.027805470387495
78,Rolling_Mean_5,4.027805470387495
37,EMA_6,3.98781460813837
101,Support_Close_20,3.9859705779163397
52,Lower_Band,3.9606097300114103
31,SMA_6,3.9450638293946265
69,Lag_Mid_Price_3,3.8569181506474526
70,Lag_Mid_Price_4,3.819431429720846
98,Resistance_Close_10,3.817548035293129
34,SMA_10,3.7842299408276325
38,EMA_12,3.779957511468703
96,Resistance_10,3.751834915755314
32,SMA_12,3.742789834226989
94,A/D_Line,3.6522166071743456
41,Signal_Line,3.558396580368439
50,Middle_Band,3.5277056357528425
35,SMA_20,3.5277056357528425
86,Base_Line,3.4991158704233647
47,Return_6H,3.48603720652783
39,EMA_26,3.4592556646154544
103,SMA5_Volume,3.145288348494824
102,Resistance_Close_20,3.143432047650881
51,Upper_Band,3.1421481967431513
100,Resistance_20,3.0949419219260683
64,Volatility,3.0206689461315954
79,Rolling_Std_5,3.0206689461315954
53,High_Low,2.6810579956725387
87,Leading_Span_A,2.558635573596866
88,Leading_Span_B,2.465680707979508
82,Rolling_Skew,2.115569423716304
56,True_Range,1.989481655315172
92,Order_Imbalance,1.7996602224718345
26,Is_Lunch_Time,1.7884395047973853
46,Return_3H,1.6908533747450782
72,Lag_Return_2,1.6084566683083872
55,Low_Close,1.4057878705041258
73,Lag_Return_3,1.3342723037915534
66,Volume_change,1.1558172414494694
93,VPT,1.138928537008953
23,Is_Open_Hour,1.1052162062977893
11,Spread,1.0942883091067825
62,MF_Volume,0.8205759401665644
21,Quarter,0.7255675633838189
71,Lag_Return_1,0.7102587939509339
91,Close_Open_Ratio,0.6913846396208745
104,RSI_Volatility,0.6538614640842313
83,Rolling_Kurt,0.6154397692166699
75,Return_1,0.4858967714347225
45,Return_1H,0.4858967714347225
65,Return,0.4858967714347225
17,Unix_Diff_Until_Earnings,0.4700248103321504
24,Is_Close_Hour,0.466313061904592
81,Hammer,0.45201050533205983
54,High_Close,0.3981421587361336
20,Week_of_Year,0.3205104473084405
18,Month,0.30723196115964957
61,MF_Multiplier,0.2651693068594058
19,Day_Type,0.25849871523193885
