Feature,Univariate_Score,Mutual_Info_Score,LightGBM_Importance,RFECV_Ranking,SHAP_Importance,Correlation_With_Target
Open_BID,18.62178518743191,0.02172079337389543,1,71,0.0008341735208629693,-0.059252951625676786
High_BID,18.771913905115145,0.030557021923283134,14,16,0.036495753227277036,-0.05949060801472683
Low_BID,18.03464381377201,0.031290932636149904,9,21,0.014989522822084956,-0.05830755424854317
Close_BID,18.000670941490192,0.03900125972336799,12,36,0.008661647434433858,-0.05826215961181447
Volume_BID,13.313603233015177,0.0,6,27,0.0063980765914024495,-0.05012586632101801
Open_ASK,18.609865461140064,0.024899458547316122,4,54,0.0034003995786259325,-0.059268046708780275
High_ASK,18.83221042775828,0.023070609847171353,2,63,0.0012202911102462718,-0.05950945437804478
Low_ASK,18.046944466806337,0.02789678051554434,3,55,0.0027483058113216634,-0.058299549573845866
Close_ASK,18.029346328307238,0.03375557192828027,9,48,0.018845427051753596,-0.05825767537895388
Volume_ASK,14.98871297985663,0.008509843519585614,9,45,0.012700809993481105,-0.05317581754854395
Mid_Price,17.98258766759647,0.037896308334559814,4,59,0.007634063243647205,-0.058259929727753956
Spread,0.03173508553833363,0.0,1,70,0.00045727172633139816,0.0024512404825145495
Volume,14.299692757264689,0.0,1,70,0.0006868785662433609,-0.05194365402597967
Open_Mid,18.613155777792393,0.020219852020627593,0,85,0.0,-0.05926054844032791
High_Mid,18.76778116216052,0.02460879725820364,2,62,0.002973366803361129,-0.05950002820692646
Low_Mid,18.035330387703215,0.03173153263936901,2,65,0.0020544376568665972,-0.05830356460302255
Close_Mid,17.98258766759647,0.03693767042369411,0,84,0.0,-0.058259929727753956
Unix_Diff_Since_Earnings,17.23374148764693,0.0031775087114778167,98,2,0.06703803603218561,0.057002548055606894
Unix_Diff_Until_Earnings,18.12113616764119,0.020036926861876303,76,1,0.05208851243165053,-0.05844579191568755
Month,0.6053351877388198,0.025954571973296536,19,24,0.013275526673314256,0.01069523148726148
Day_Type,0.7379979410905275,0.0008263694992278747,8,54,0.008251407472218024,0.011814565034001134
Week_of_Year,0.7083948311541949,0.04427981410070503,105,3,0.11091090861706678,0.011571714049296133
Quarter,2.2517327267458507,0.0,0,83,0.0,0.020633200445445254
Hour,0.4812673777415368,0.008798165581115347,3,58,0.0013889366000152058,-0.009528804860678974
Is_Open_Hour,0.00228649193255915,0.0,0,82,0.0,0.0006582802452612668
Is_Close_Hour,0.7118768926801222,0.017324139022072194,0,85,0.0,-0.011604291874391492
Day_of_Week,1.452968648064859,0.0018045707758804763,19,28,0.02101977349470488,-0.016578546252276283
Is_Lunch_Time,0.04699596379316663,0.003349307811102875,1,68,0.000452090662631481,0.002981438869028352
Time_Since_Open,0.526493427631049,0.0,0,83,0.0,-0.009981345228425198
score,4.878615565359923,0.4334520372728421,139,1,0.10985702664672962,-0.030360889541086067
rating,16.588534437630532,0.0,0,84,0.0,-0.05593087541274144
SMA_3,18.51113333748072,0.04348292290104938,4,53,0.00759855251491569,-0.0590613801980453
SMA_6,19.061019807165174,0.030550015596180202,4,48,0.012830388748381785,-0.05991752512915127
SMA_12,19.591079436003316,0.04982799940798577,15,15,0.018012658119080663,-0.0607045616348465
SMA_5,18.943817049539277,0.044047898561992094,2,66,0.0037861212512858094,-0.05966016090187054
SMA_10,19.41182854269423,0.05649743161676657,10,43,0.03083150741069965,-0.06054501921025235
SMA_20,19.61847551596117,0.021794243897968135,10,32,0.008074879296266605,-0.06086189078112625
EMA_3,18.441752554329852,0.04052245047532965,10,32,0.0073524874937134724,-0.05898325183600761
EMA_6,18.912605374073447,0.0366520644856827,6,39,0.00879623681378771,-0.059680701146433535
EMA_12,19.30920834217554,0.043684385509914936,2,61,0.0019331876305054313,-0.060305991112464596
EMA_26,19.66785673254765,0.03807321130466068,12,37,0.01092023873734236,-0.0608928741382897
MACD,0.10125055040768319,0.0,22,20,0.011480563472210608,0.004376462792748725
Signal_Line,0.0008711456468270442,0.01055235477039318,81,2,0.052066336240487204,0.0004059386890453709
%K,6.467771748792329,0.0026276628868118213,8,36,0.00613360562481225,0.03496267854525925
%D,3.8815174537336508,0.005522897788655223,8,47,0.003564637062335653,0.027079623528777574
CCI,2.6303209155880087,0.008772324537546838,16,20,0.02413681038614829,0.022301441656856547
Return_1H,0.8369100323806264,0.0,2,69,0.0006827686900774446,0.012581759469515674
Return_3H,2.2177740168018865,0.0031476701929167294,1,66,0.00034055511227047464,0.020478781608103347
Return_6H,2.1476254909456522,0.008388523067680342,6,42,0.004534377579650343,0.02015245559327017
RSI_long,4.241919703493818,0.0069415341406342534,7,35,0.0024856902470213366,0.02830767635466458
RSI_short,4.241919703493818,0.006898841709515269,0,81,0.0,0.02830767635466458
Middle_Band,19.61847551596117,0.02120389633630726,0,81,0.0,-0.06086189078112625
Upper_Band,19.09726846624194,0.06055328995778364,54,4,0.1876297961708056,-0.06003491746280787
Lower_Band,19.896122492702894,0.06805389042768706,19,13,0.015677144155693348,-0.06119850691262485
BB_Width,0.2389671512297149,0.008146345496933494,42,15,0.0380541179909649,0.006698146889277723
High_Low,5.724505396011501,0.0024112781652361193,5,49,0.006297438923261737,-0.032885968936682275
High_Close,0.6334013113070008,0.002749322427890055,11,46,0.009640072436196105,-0.010946913439397576
Low_Close,1.307541060381777,0.005637611237989448,4,47,0.00573735927169111,-0.01572536151076065
True_Range,3.3051435047882576,0.01672910728092969,2,67,0.001541173498349265,-0.02499564578205593
ATR,5.878488159671416,0.014125989252160132,11,34,0.012290792647832081,-0.0333395935752816
Volume_SMA_3,18.244017604256186,0.010292956020667487,12,28,0.006897945180401534,-0.05864527650854612
Volume_SMA_6,20.238882488909507,0.00730527235141154,43,6,0.059121368767234055,-0.061751577663607726
OBV,0.6563418854652272,0.023299630639134872,68,8,0.07711483386523288,-0.01129752761391467
MF_Multiplier,3.5467771784941613,0.0,8,45,0.0037447877098079466,0.02589456994380157
MF_Volume,2.120592376588292,0.0,5,42,0.0028161944055281355,0.020025218811419165
CMF,12.992073732277904,0.012143960385503583,55,11,0.028944067093003307,0.0495154006636902
Volatility,4.624713679959762,0.00032210594986104013,13,43,0.010840941419902583,-0.029568369042138443
Return,0.8369100323806264,0.0,0,82,0.0,0.012581759469515674
Volume_change,0.012680245162613266,0.0,3,65,0.0010738378676984621,0.0015483531566111708
Lag_Mid_Price_1,18.440877285143713,0.0198093365890748,1,68,0.000948118079675973,-0.05898916548640898
Lag_Mid_Price_2,18.99639156819333,0.02256127336303515,1,64,0.0005252258830745869,-0.059840353631297916
Lag_Mid_Price_3,19.34088053478341,0.017414442872670577,3,52,0.0028619926218035243,-0.0603765433332093
Lag_Mid_Price_4,19.424828681462454,0.03588670418213957,2,40,0.010711273101210018,-0.06054597013077512
Lag_Return_1,1.2603990738895388,0.0024144748414671735,3,57,0.003371708747263123,0.015439678473978091
Lag_Return_2,0.33736650353213493,0.005134005636357131,2,51,0.0011054505553241315,0.007988661054816326
Lag_Return_3,0.016014958949159018,0.006177208654898125,10,50,0.011549880513093767,0.0017405950305605222
Lag_Return_4,0.4626337980486318,0.0036170054518689376,2,67,0.0008210006796326778,0.009354837858628784
Return_1,0.8369100323806264,0.0,0,72,0.0,0.012581759469515674
Return_5,2.2714317065730727,0.004616847381873512,11,40,0.004230053436521235,0.020724920116407475
Return_10,0.9705954745825236,0.0,10,39,0.0036036653699441893,0.01354923213777326
Rolling_Mean_5,18.943817049539277,0.04399451255692299,0,74,0.0,-0.05966016090187054
Rolling_Std_5,4.624713679959762,0.0009036112448683742,0,72,0.0,-0.029568369042138443
Lagged_Volatility,4.156762986385655,0.0011542236613639734,7,38,0.004324516745083011,-0.028036774302211853
Hammer,0.0005450951861186617,0.0,0,74,0.0,0.00032526824361411855
Rolling_Skew,3.9710706102345674,0.008948136444326904,77,5,0.04198574218254386,0.027398567021121423
Rolling_Kurt,12.775721610640602,0.014666925843578538,65,12,0.07156344931908039,0.04910310015145569
Price_Z_Score,3.2051279415958036,0.01272158780017163,21,7,0.04023456093854081,0.02461654975755323
Conversion_Line,20.16730222999724,0.18098241592567765,13,35,0.017721577424227482,-0.061642369485355175
Base_Line,19.921615899079395,0.2664220089483893,30,23,0.025940961832008873,-0.06125910502142062
Leading_Span_A,18.420066620839062,0.13832281616289843,65,3,0.033190938887442414,-0.05892965869713862
Leading_Span_B,24.580655300921865,0.25224392405927865,110,1,0.08590480270538592,-0.06797604627351461
Williams_%R,6.470111050162932,0.0030941278389047255,3,62,0.0011464375013160305,0.034962679327424695
High_Low_Ratio,20.23960162889918,0.0,2,59,0.0006459691576277944,-0.015500086720653172
Close_Open_Ratio,2.277182793212165,0.0020090639125036613,2,69,0.000982884148815226,0.02132898032766839
Order_Imbalance,1.1820974211801925,0.0,13,34,0.0060286790562606085,0.014952576984729404
VPT,19.952034010947457,0.06919846643285821,54,1,0.07543249896798637,-0.06133480141107839
A/D_Line,0.46616148674243046,0.04716900245425526,59,9,0.07802451194994692,0.009433979193012476
Support_10,19.265645095558284,0.2809533093564538,18,33,0.014116449078160941,-0.06027538435915858
Resistance_10,20.889010498309894,0.29325558397001883,11,21,0.007583410945767011,-0.0627225108386682
Support_Close_10,18.43288410881911,0.3028396794031387,12,25,0.025264185588277505,-0.058925038138852415
Resistance_Close_10,20.17448833463513,0.3059681408508861,14,29,0.022690165973413393,-0.06165517560091871
Support_20,19.837626958618433,0.28004402375267046,28,17,0.02808867264802045,-0.06114794168278692
Resistance_20,20.64160490516027,0.2768988915613386,33,10,0.04177483888466345,-0.06235482235608192
Support_Close_20,19.193657035726037,0.2881881425040218,30,7,0.06775559418857156,-0.06012487576104064
Resistance_Close_20,19.711401796493718,0.2742311095501788,18,22,0.05247844102769627,-0.061019987359088645
SMA5_Volume,24.92558367780255,0.012668650756387567,15,31,0.006300688719385412,-0.06850544735805286
RSI_Volatility,1.5076577585632402,0.0,19,18,0.019020127284774868,-0.016889240287235374
OBV_ROC,2.4067193453280114,0.005484286043356601,2,57,0.0006548460938616221,0.02133291263510273
ROC,0.6021879174940972,0.009600306936445424,21,19,0.012477077288112327,0.010672806221496245
UpMove,1.3905987429203193,0.0,2,51,0.00792986549846191,0.01621735192534146
DownMove,1.2548142417696826,0.004601096568841445,0,78,0.0,-0.01540546401646381
+DM,0.2503410793972051,0.00484275863669148,1,60,0.0011786437356184805,0.0068822330086923955
-DM,1.675809145372264,0.013519652559300654,1,61,0.0006953722099392718,-0.0178028333764928
+DI,5.828605590839128,0.019444538785747367,28,10,0.03374086060450976,0.03318310185036344
-DI,1.8941372397413687,0.0036787415896482045,34,13,0.028826388977513714,-0.018922869805306775
DX,10.44400524858633,0.007007059647188507,28,26,0.014933422353187172,0.04440808990064049
ADX,6.4853164684212725,0.008359878970298551,65,4,0.047140916497705396,0.03500390608999382
PSAR,20.28279542245919,0.0112818752943602,18,17,0.013962790818470341,-0.06183945492742282
Engulfing,0.10198178063290046,0.0,0,80,0.0,0.004392471219034633
Price_Channel_High,19.711401796493718,0.2723084294663942,0,78,0.0,-0.061019987359088645
Price_Channel_Low,19.193657035726037,0.28146667597256414,0,79,0.0,-0.06012487576104064
Price_Channel_Range,0.20674848977137955,0.18345780875854234,77,1,0.08422943629889346,-0.006245454841575793
Hist_Volatility,0.5136362602953962,0.02007732866700973,78,5,0.051350182261740276,-0.009861912655195315
Cumulative_Volume,3.7359535589052393,0.5244282949056078,56,1,0.16888691515753645,0.026533968362329574
