hyperparameter_set,average_roc_auc,model_path,timestamp
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.4953734186174608,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_125828
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.47345505897761697,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_15.pkl,20241102_125835
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.4919466520852625,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_16.pkl,20241102_125841
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.46439082332923753,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_17.pkl,20241102_125847
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.4634779344182497,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_18.pkl,20241102_125853
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.44210064535925964,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_19.pkl,20241102_125859
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.4705358099038975,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_25.pkl,20241102_125905
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.4842680058990867,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_30.pkl,20241102_125911
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.44552109573113335,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_32.pkl,20241102_125918
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.49421838300592225,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_35.pkl,20241102_125924
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.4467106616011211,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_36.pkl,20241102_125930
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.5085414181991063,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_38.pkl,20241102_125937
"{'learning_rate': 0.01, 'num_leaves': 150, 'max_depth': -1, 'min_data_in_leaf': 50, 'feature_fraction': 1.0, 'lambda_l1': 0.1, 'lambda_l2': 1.0, 'min_gain_to_split': 0.1, 'max_bin': 255, 'boosting_type': 'gbdt', 'bagging_fraction': 0.8, 'bagging_freq': 10, 'bagging_seed': 100}",0.5116113050967416,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_40.pkl,20241102_125943
"{'learning_rate': 0.2, 'num_leaves': 31, 'max_depth': -1, 'min_data_in_leaf': 20, 'feature_fraction': 0.6, 'lambda_l1': 0, 'lambda_l2': 0.1, 'min_gain_to_split': 1.0, 'max_bin': 500, 'boosting_type': 'gbdt', 'bagging_fraction': 0.6, 'bagging_freq': 5, 'bagging_seed': 100}",0.46346982828118166,C:\Users\CsP\Desktop\stock_project_king_of_the_hill\saved_models\final_lightgbm_model_delta_t_12.pkl,20241102_125954
